cik_str,symbol,name,cik
1045810,NVDA,NVIDIA CORP,1045810
789019,MSFT,MICROSOFT CORP,789019
320193,AAPL,Apple Inc.,320193
1652044,GOOGL,Alphabet Inc.,1652044
1018724,AMZN,AMAZON COM INC,1018724
1326801,META,"Meta Platforms, Inc.",1326801
1730168,AVGO,Broadcom Inc.,1730168
1067983,BRK-B,BERKSHIRE HATHAWAY INC,1067983
1318605,TSLA,"Tesla, Inc.",1318605
19617,JPM,JPMORGAN CHASE & CO,19617
1341439,ORCL,ORACLE CORP,1341439
104169,WMT,Walmart Inc.,104169
1403161,V,VISA INC.,1403161
59478,LLY,ELI LILLY & Co,59478
884394,SPY,SPDR S&P 500 ETF TRUST,884394
1141391,MA,Mastercard Inc,1141391
1065280,NFLX,NETFLIX INC,1065280
34088,XOM,EXXON MOBIL CORP,34088
200406,JNJ,JOHNSON & JOHNSON,200406
1577552,BABA,Alibaba Group Holding Ltd,1577552
1321655,PLTR,Palantir Technologies Inc.,1321655
909832,COST,COSTCO WHOLESALE CORP /NEW,909832
354950,HD,"HOME DEPOT, INC.",354950
1551152,ABBV,AbbVie Inc.,1551152
70858,BAC,BANK OF AMERICA CORP /DE/,70858
937966,ASML,ASML HOLDING NV,937966
80424,PG,PROCTER & GAMBLE Co,80424
93410,CVX,CHEVRON CORP,93410
40545,GE,GENERAL ELECTRIC CO,40545
1000184,SAP,SAP SE,1000184
1283699,TMUS,"T-Mobile US, Inc.",1283699
21344,KO,COCA COLA CO,21344
731766,UNH,UNITEDHEALTH GROUP INC,731766
858877,CSCO,"CISCO SYSTEMS, INC.",858877
2488,AMD,ADVANCED MICRO DEVICES INC,2488
72971,WFC,WELLS FARGO & COMPANY/MN,72971
51143,IBM,INTERNATIONAL BUSINESS MACHINES CORP,51143
895421,MS,MORGAN STANLEY,895421
1413329,PM,Philip Morris International Inc.,1413329
2070829,CYATY,"Contemporary Amperex Technology Co., Limited/ADR",2070829
1094517,TM,TOYOTA MOTOR CORP/,1094517
886982,GS,GOLDMAN SACHS GROUP INC,886982
